unique_id,ds,LGBMRegressor
hotel_0,2023-07-01,0.8639000367584039
hotel_0,2023-07-02,0.7469053418980567
hotel_0,2023-07-03,0.7083845895714547
hotel_0,2023-07-04,0.7115132341612816
hotel_0,2023-07-05,0.7198187565346921
hotel_0,2023-07-06,0.7487272882210957
hotel_0,2023-07-07,0.7620585686502754
hotel_0,2023-07-08,0.8347967263713943
hotel_0,2023-07-09,0.7638486623944682
hotel_0,2023-07-10,0.720319766580685
hotel_0,2023-07-11,0.775284151902621
hotel_0,2023-07-12,0.79511418908696
hotel_0,2023-07-13,0.8059117172801225
hotel_0,2023-07-14,0.8207397554312186
hotel_0,2023-07-15,0.8494852623023634
hotel_0,2023-07-16,0.804065835156185
hotel_0,2023-07-17,0.758283939616246
hotel_0,2023-07-18,0.7734001026653499
hotel_0,2023-07-19,0.8149843537093592
hotel_0,2023-07-20,0.8085748263023693
hotel_0,2023-07-21,0.8176029279549959
hotel_0,2023-07-22,0.8339654992006494
hotel_0,2023-07-23,0.8108247286150538
hotel_0,2023-07-24,0.7752757795858966
hotel_0,2023-07-25,0.802604121800824
hotel_0,2023-07-26,0.8056287796690578
hotel_0,2023-07-27,0.8119903820557918
hotel_0,2023-07-28,0.8230335393036871
hotel_105,2023-07-01,0.9813461733415102
hotel_105,2023-07-02,0.9824063220791669
hotel_105,2023-07-03,1.0029975987210464
hotel_105,2023-07-04,0.9876642581334102
hotel_105,2023-07-05,1.0025438528821349
hotel_105,2023-07-06,0.993884002888956
hotel_105,2023-07-07,0.9866990146094049
hotel_105,2023-07-08,0.9738291684991262
hotel_105,2023-07-09,0.9677686174559909
hotel_105,2023-07-10,0.9624528510365786
hotel_105,2023-07-11,0.9606862515174982
hotel_105,2023-07-12,0.9614805168645499
hotel_105,2023-07-13,0.9710003287873655
hotel_105,2023-07-14,0.955521409632403
hotel_105,2023-07-15,0.9521770384937337
hotel_105,2023-07-16,0.9635774653798069
hotel_105,2023-07-17,0.9390081824889713
hotel_105,2023-07-18,0.9385834751200037
hotel_105,2023-07-19,0.9736038406340769
hotel_105,2023-07-20,0.985810403116903
hotel_105,2023-07-21,0.9657889312565533
hotel_105,2023-07-22,0.9494874569367099
hotel_105,2023-07-23,0.9603787081151828
hotel_105,2023-07-24,0.9642124002947936
hotel_105,2023-07-25,0.9642124002947936
hotel_105,2023-07-26,0.9775695919796747
hotel_105,2023-07-27,0.9585091452393321
hotel_105,2023-07-28,0.9534798318101877
hotel_112,2023-07-01,0.8751703164087156
hotel_112,2023-07-02,0.8338406431622287
hotel_112,2023-07-03,0.8467149042186497
hotel_112,2023-07-04,0.85522243536601
hotel_112,2023-07-05,0.8795305415570256
hotel_112,2023-07-06,0.9260760302048174
hotel_112,2023-07-07,0.9029976829151669
hotel_112,2023-07-08,0.8873249720430707
hotel_112,2023-07-09,0.8632884256990365
hotel_112,2023-07-10,0.8454382226274669
hotel_112,2023-07-11,0.8531825259845733
hotel_112,2023-07-12,0.8404758699404339
hotel_112,2023-07-13,0.8953220502252937
hotel_112,2023-07-14,0.890451849542088
hotel_112,2023-07-15,0.8657107137622435
hotel_112,2023-07-16,0.8834331345322661
hotel_112,2023-07-17,0.8669390970984485
hotel_112,2023-07-18,0.871026301969425
hotel_112,2023-07-19,0.8611499511219898
hotel_112,2023-07-20,0.8938128153349588
hotel_112,2023-07-21,0.8662854918051196
hotel_112,2023-07-22,0.8733906648073678
hotel_112,2023-07-23,0.8733906648073678
hotel_112,2023-07-24,0.8733906648073678
hotel_112,2023-07-25,0.8793200174074414
hotel_112,2023-07-26,0.8834331345322661
hotel_112,2023-07-27,0.9260418469930386
hotel_112,2023-07-28,0.9208256335541778
hotel_126,2023-07-01,0.9849345984395704
hotel_126,2023-07-02,0.9875229636754491
hotel_126,2023-07-03,1.0019345471356547
hotel_126,2023-07-04,0.9988768566936324
hotel_126,2023-07-05,0.9994688195953106
hotel_126,2023-07-06,0.9914400285123639
hotel_126,2023-07-07,0.9794458072099422
hotel_126,2023-07-08,0.986658181836905
hotel_126,2023-07-09,0.986658181836905
hotel_126,2023-07-10,0.9877255548226507
hotel_126,2023-07-11,0.994968702228498
hotel_126,2023-07-12,0.9921161178098438
hotel_126,2023-07-13,0.9972966806224752
hotel_126,2023-07-14,0.9944958209561614
hotel_126,2023-07-15,0.992020791498872
hotel_126,2023-07-16,0.9888162375209498
hotel_126,2023-07-17,0.9859884620445865
hotel_126,2023-07-18,0.9895636643261302
hotel_126,2023-07-19,0.9962997386393867
hotel_126,2023-07-20,0.9862476795134404
