Model,ME,MAE,RMSE
Naive,-0.0891921844533864,0.13831983507695403,0.20013880749706245
SeasonalNaive,-0.04031579166173144,0.12594867680459204,0.18523515604517998
AutoETS,-0.0742290402134973,0.11867848510120878,0.16769110222720018
AutoARIMA,-0.04097522759009372,0.09486635931978384,0.13447122891139593
